Job Title,Company Name,Location,Skills,Links,Salary,Requirements,Date
Python Automation Engineer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Information Technology (IT) · JIRA · Python · Selenium · Software Development · Testing,https://wuzzuf.net/jobs/p/ayajJH3Afl3R-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt,Confidential,"['Requirement analysis', 'Concept development for test automation', 'Design, implementation and verification of Robot based Automation Framework', 'Implementation of automated tests', 'Creation, implementation and verification of test cases', 'Execution of automated tests', 'Test analysis and test evaluation', 'Defect logging', 'Reporting', 'Development of automated procedures for test execution, test result analysis, traces repository, and automated creation of test results reports', 'Programming languages', 'Python']",21 minutes ago
Senior Python Automation Engineer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ALM · API · API Testing · Information Technology (IT) · Git · Computer Science · Development · JIRA,https://wuzzuf.net/jobs/p/kJNETgKZ7v9r-Senior-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt,Confidential,"['Requirement analysis', 'Concept development for test automation', 'Design, implementation and verification of Robot based Automation Framework', 'Implementation of automated tests', 'Creation, implementation and verification of test cases', 'Execution of automated tests', 'Test analysis and test evaluation', 'Defect logging', 'Reporting', 'Development of automated procedures for test execution, test result analysis, traces repository, and automated creation of test results reports', 'Programming languages', 'Python results reports']",3 days ago
Python Backend Developer – AI & Chatbots,OTIC -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Python Backend Developer · Database · Computer Science · Azure · APIs · Software Development · Oracle · Python · Django,https://wuzzuf.net/jobs/p/bwni7B3ow3qc-Python-Backend-Developer-–-AI-Chatbots-OTIC-Cairo-Egypt,Confidential,"['Python Backend Developer', 'Are you a skilled Python Backend Developer with a passion for AI-powered solutions and chatbots? Join our innovative team to build next-gen AI applications, intelligent chatbots, and scalable backend systems!', ""What You'll Do:"", '✅ Design & develop scalable backend systems for AI applications\n✅ Build & optimize AI/ML models for automation and decision-making\n✅ Develop and deploy intelligent AI chatbots & virtual assistants\n✅ Work with RESTful APIs, microservices, and databases\n✅ Integrate AI-driven chatbots into real-world applications\n✅ Collaborate with data scientists and engineers on AI-driven projects', 'Why Join Us?', '???? Work on cutting-edge AI, Chatbot & Backend solutions\n???? Flexible work environment\n???? Career growth & learning opportunities', '???? Apply Now! Send your resume to [Otic.Egypt@gmail] or tag someone who would be a great fit!']",2 days ago
AI Developer (Python),Ultimate Solutions Egypt -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · AWS · Azure · Computer Science · Data Science · Git · Information Technology (IT),https://wuzzuf.net/jobs/p/DnNwRT2ctCVz-AI-Developer-Python-Ultimate-Solutions-Egypt-Giza-Egypt,Confidential,"['Assist in developing and maintaining machine learning models', 'Help with data preprocessing and cleaning tasks', 'Support the implementation of basic ML algorithms', 'Participate in model training and evaluation', 'Help create data visualization for model analysis', 'Write and maintain clean, documented code', 'Learn and apply best practices in AI development', 'Assist in preparing datasets for training', 'Help with basic model deployment tasks', 'Contribute to team documentation']",2 days ago
Data Analyst Manager,WUZZUF -,"Maadi, Cairo, Egypt ",Full TimeHybridManager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt,Confidential,"['Team Leadership:\nManage and mentor a team of data analysts, providing guidance, training, and support to foster their professional development.\nAssign tasks and projects, ensuring efficient workflow and timely delivery.\nEvaluate team performance and provide feedback to drive continuous improvement.', 'Manage and mentor a team of data analysts, providing guidance, training, and support to foster their professional development.', 'Assign tasks and projects, ensuring efficient workflow and timely delivery.', 'Evaluate team performance and provide feedback to drive continuous improvement.', 'Data Analysis:\nCollaborate with stakeholders across the organization to identify data requirements and define analysis objectives.\nDevelop and implement data analysis strategies, using advanced statistical techniques and tools.\nConduct in-depth data analysis to uncover trends, patterns, and insights.\nPrepare clear and concise data visualizations and reports to communicate findings effectively.', 'Collaborate with stakeholders across the organization to identify data requirements and define analysis objectives.', 'Develop and implement data analysis strategies, using advanced statistical techniques and tools.', 'Conduct in-depth data analysis to uncover trends, patterns, and insights.', 'Prepare clear and concise data visualizations and reports to communicate findings effectively.', 'Data Governance:\nEstablish and maintain data quality standards and governance policies.\nOversee data collection, storage, and management processes.\nEnsure data privacy and security compliance.', 'Establish and maintain data quality standards and governance policies.', 'Oversee data collection, storage, and management processes.', 'Ensure data privacy and security compliance.', 'Strategic Insights:\nTranslate data-driven insights into actionable recommendations to support strategic decision-making.\nIdentify opportunities for data-driven innovation and process improvement.\nCollaborate with leadership to develop data-driven roadmaps and initiatives.', 'Translate data-driven insights into actionable recommendations to support strategic decision-making.', 'Identify opportunities for data-driven innovation and process improvement.', 'Collaborate with leadership to develop data-driven roadmaps and initiatives.']",2 days ago
Frappe & ERPNext Developer,Confidential -,"Riyadh, Saudi Arabia ",Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · jQuery · JavaScript · HTML · erpnext · CSS · Computer Science,https://wuzzuf.net/jobs/p/sW0qJDzw2Zyb-Frappe-ERPNext-Developer-Riyadh-Saudi-Arabia,Confidential,"['Develop and Customize ERPNext: Write code to customize ERPNext to meet client-specific needs using the Frappe framework and Python.', 'System Integration: Develop and implement integrations with external platforms using APIs and webhooks to ensure smooth data flow between systems.', 'Create New Modules: Build new modules within ERPNext to enable additional features, including custom reports and workflow tools.', 'Server Management & Maintenance: Install, configure, and manage servers remotely, ensuring smooth operation and performance optimization of ERPNext using Frappe and tools like Docker when necessary.', 'Data Migration: Write scripts to migrate data from legacy systems to ERPNext, ensuring accurate and complete data transfer.', 'Post-Implementation Support: Provide ongoing support to resolve technical issues, bugs, and software-related problems.', 'Performance & Feature Enhancements:', 'System Optimization: Improve the speed and efficiency of applications by writing efficient code and optimizing existing functionality.', ""Performance Monitoring: Monitor the system's performance, analyze bottlenecks, and recommend ongoing improvements."", 'Advanced Feature Implementation: Develop advanced features like AI-based reporting, automation, and custom workflows.', 'Technical Documentation:', 'Code Documentation: Write detailed documentation for code and system development to ensure future maintenance and scalability.', 'SOP Documentation: Create Standard Operating Procedures (SOPs) for the developed system components and processes.', 'Team Collaboration:', 'Collaboration with Other Teams: Work closely with implementation, support, and other technical teams to ensure smooth system integration and functionality.', 'Remote Collaboration Tools: Use tools like GitHub for version control and Slack for daily communication and task tracking.']",3 days ago
Technical Team Lead,ECC Group -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Business Development · IT/Software Development · Computer Science · Development · Engineering · Information Technology (IT) · Java · JavaScript · Management · Programming,https://wuzzuf.net/jobs/p/MfKxNDuXRDnj-Technical-Team-Lead-ECC-Group-Cairo-Egypt,35000 To 45000 EGP Per Month,"[""We are looking for an experienced and driven Technical Team Lead to oversee and elevate our software development team. You will lead end-to-end development projects, ensure technical excellence, and align technology strategies with our business objectives. If you're passionate about coding, leadership, and agile delivery, this is your chance to make a significant impact."", 'Leadership & Team Management', 'Lead, mentor, and motivate a team of developers to achieve technical excellence and career growth.', 'Foster a collaborative and innovative team culture.', 'Set clear objectives, track team KPIs, and conduct performance reviews.', 'Project Management & Delivery', 'Oversee project planning, execution, and on-time delivery.', 'Collaborate with product owners and stakeholders to define requirements and priorities.', 'Ensure agile methodologies (Scrum/Kanban) are effectively implemented.', 'Technical Oversight', 'Review and maintain high-quality, scalable, and secure codebases.', 'Guide architectural decisions and ensure system reliability.', 'Drive continuous improvement through the adoption of new tools, frameworks, and best practices.', 'Collaboration & Communication', 'Coordinate with IT, QA, product, and business teams for seamless project integration.', 'Translate business requirements into technical solutions and align the team accordingly.']",8 days ago
Senior AI Developer,Global Brands -,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · APIs · Information Technology (IT) · Python · Java · Software Development · Software · Computer Science,https://wuzzuf.net/jobs/p/RJDgdLwlGYTJ-Senior-AI-Developer-Global-Brands-Cairo-Egypt,Confidential,"['Design, develop, and deploy AI/ML models using industry-standard frameworks.\nFine-tune large language models (LLMs) for specific tasks and datasets.\nBuild and optimize retrieval-augmented generation (RAG) pipelines with LLMs.\nDevelop prompts and workflows for LLM-based solutions using tools like LangChain.\nCollaborate with teams to design and maintain scalable data pipelines.\nEnsure AI/ML model performance, scalability, and efficiency.\nMentor junior developers and maintain coding best practices.\nStay updated on advancements in AI/ML technologies and assess their relevance.\nCommunicate technical solutions to technical and non-technical audiences.\nWork with large-scale datasets, ensuring proper data preprocessing, augmentation, and feature engineering.\nDeploy and maintain AI models in cloud environments (AWS, Azure, GCP) or on-premises.']",23 days ago
Senior ERP Developer,Milkys - The Milkman -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Software Development · Programming · ERP-NEXT · Python · R · Front-End Development · Web Development · Agile · APIs,https://wuzzuf.net/jobs/p/eAOYdSfLEH0U-Senior-ERP-Developer-Milkys---The-Milkman-Giza-Egypt,Confidential,"['Development: Design, develop, and implement ERP solutions by leveraging Python and R to ensure the successful integration of business processes.', 'Customization: Work closely with stakeholders to understand system requirements, conducting customization of ERP tools based on organizational needs and best practices.', 'Technical Support: Provide technical guidance and troubleshooting support to users, addressing system bugs and performance issues promptly.', 'Database Management: Manage and optimize database operations within the ERP system to ensure data integrity, availability, and security.', 'Interface Design: Create user-friendly interfaces and dashboards to enhance user experience, ensuring a seamless interaction with the ERP system.', 'Collaboration: Collaborate with cross-functional teams including business analysts, project managers, and other developers to facilitate the successful completion of projects.', 'Documentation: Maintain comprehensive documentation for development processes, system configurations, and user manuals to ensure knowledge transfer and support.', 'Training: Provide training sessions to end-users and internal teams to enhance their understanding and efficient use of ERP functionalities.']",23 days ago
Full stack developer [PHP - Laravel],Confidential -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Information Technology (IT) · Software Engineering · PHP · Python · Software,https://wuzzuf.net/jobs/p/SjAd33NLbvmB-Full-stack-developer-PHP---Laravel-Cairo-Egypt,Confidential,"['Work with development teams and product managers to ideate software solutions', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Troubleshoot, debug and upgrade software', 'To implement unit testing\n ']",1 month ago
